,Source file,DateTime,Date,Time,Duration(s),Comments,Pyrite Type,Texture,Generation,Reef,Mg25,Mg25 Int2SE,Mg25 LOD,Al27,Al27 Int2SE,Al27 LOD,Si29,Si29 Int2SE,Si29 LOD,P31,P31 Int2SE,P31 LOD,S33,S33 Int2SE,S33 LOD,S34,S34 Int2SE,S34 LOD,K39,K39 Int2SE,K39 LOD,Ca43,Ca43 Int2SE,Ca43 LOD,Ti49,Ti49 Int2SE,Ti49 LOD,V51,V51 Int2SE,V51 LOD,Cr53,Cr53 Int2SE,Cr53 LOD,Mn55,Mn55 Int2SE,Mn55 LOD,Co59,Co59 Int2SE,Co59 LOD,Ni60,Ni60 Int2SE,Ni60 LOD,Cu65,Cu65 Int2SE,Cu65 LOD,Zn66,Zn66 Int2SE,Zn66 LOD,Ga71,Ga71 Int2SE,Ga71 LOD,Ge74,Ge74 Int2SE,Ge74 LOD,As75,As75 Int2SE,As75 LOD,Se77,Se77 Int2SE,Se77 LOD,Se82,Se82 Int2SE,Se82 LOD,Sr88,Sr88 Int2SE,Sr88 LOD,Zr90,Zr90 Int2SE,Zr90 LOD,Mo95,Mo95 Int2SE,Mo95 LOD,Ag107,Ag107 Int2SE,Ag107 LOD,Cd111,Cd111 Int2SE,Cd111 LOD,In115,In115 Int2SE,In115 LOD,Sn118,Sn118 Int2SE,Sn118 LOD,Sb121,Sb121 Int2SE,Sb121 LOD,Te125,Te125 Int2SE,Te125 LOD,Ba137,Ba137 Int2SE,Ba137 LOD,Ta181,Ta181 Int2SE,Ta181 LOD,W182,W182 Int2SE,W182 LOD,Pt195,Pt195 Int2SE,Pt195 LOD,Au197,Au197 Int2SE,Au197 LOD,Hg202,Hg202 Int2SE,Hg202 LOD,Tl205,Tl205 Int2SE,Tl205 LOD,Pb206,Pb206 Int2SE,Pb206 LOD,Pb207,Pb207 Int2SE,Pb207 LOD,Pb208,Pb208 Int2SE,Pb208 LOD,Bi209,Bi209 Int2SE,Bi209 LOD,Th232,Th232 Int2SE,Th232 LOD,U238,U238 Int2SE,U238 LOD,Ni61,Ni61 Int2SE,Ni61 LOD
133,MS-3_3.d,12/01/2015 (2) 11:04:51.17,12/01/2015 (2),0.461703356,38.099,"MS-3_3.d, 11:04:50 AM (38 sec)",Subhedral (hydrothermal),Subhedral,Epigenetic,MSPC,NA,0.3,0.59643,NA,0.097,0.4126,366,51,149.89,6.5,2.8,5.9355,591000,30000,821.42,564000,25000,194.2,NA,3,2.7825,NA,53,132.02,19.5,1.9,0.51129,0.045,0.016,0.024054,NA,0.13,0.31053,NA,0.12,0.37493,1045,66,0.011133,313,25,0.087809,NA,0.082,0.20733,0.188,0.076,0.14384,NA,0.0096,0.012921,NA,0.12,0.32173,1350,110,1.6596,22.1,1.6,1.2976,21.7,1.5,1.9917,NA,0.00027,0,0.0029,0.0036,0,NA,4.00E-04,0.035687,NA,0.0046,0.027729,NA,0.11,0.46649,NA,0.0046,0.015479,NA,0.14,0.28475,NA,0.042,0.11934,NA,0.16,0.45563,NA,0.00013,0.16842,NA,8.60E-05,0.003739,NA,3.50E-05,0.032451,NA,0.0067,0.025747,NA,0.0048,0.0099904,NA,0.014,0.051255,NA,0.011,0.023855,NA,0.0072,0.023653,NA,0.019,0.048797,NA,0.011,0.017881,0.095,0.019,0.016305,NA,8.40E-05,0,NA,0.00067,0,NA,NA,NA
134,MS-3_4.d,12/01/2015 (2) 11:09:07.32,12/01/2015 (2),0.464668056,39.3,"MS-3_4.d, 11:09:07 AM (40 sec)_Mg mineral inclusion",inclusion-bearing,Inclusion-bearing,Detrital,MSPC,1010,240,0.74239,3320,810,0.36995,3810,640,159.11,6.2,2.5,5.6087,615000,36000,745.02,607000,36000,235.91,10.6,3.5,2.8099,228,89,181.32,24.1,2.5,0.54714,13.1,2.9,0.013352,7.5,1.6,0.27695,5,1.3,0.38039,194,24,0.017155,77.2,6.9,0.077697,1.13,0.22,0.14884,0.79,0.14,0.12409,0.87,0.16,0.021031,1.02,0.16,0.26492,77.8,8.6,1.5721,119,13,1.5292,125,13,2.6804,1.98,0.66,0.01245,0.18,0.11,0,NA,0.00055,0.03184,0.083,0.021,0.013513,NA,0.1,0.37946,NA,0.0061,0.012465,NA,0.13,0.27739,1.02,0.21,0.11971,1.29,0.36,0.38819,0.24,0.11,0.051389,NA,0.00093,0,NA,5.80E-05,0,NA,0.012,0.020022,0.113,0.029,0.011782,NA,0.021,0.048415,NA,0.006,0.019441,14.5,3,0.050025,9.6,2.1,0.043155,7,1.5,0.029741,9.4,1.9,0.019423,NA,0.0032,0.0095927,0.0012,0.0024,0,NA,NA,NA
135,MS-3_5.d,12/01/2015 (2) 11:16:11.72,12/01/2015 (2),0.469580093,38.939,"MS-3_5.d, 11:16:11 AM (38.9 sec)",Pyrite rim (overgrowth),Overgrowth,Epigenetic,MSPC,NA,0.2,1.0267,NA,0.17,0.36679,434,57,131.84,7.9,2.7,7.0314,598000,33000,714.34,579000,30000,249.95,NA,3.2,2.5548,158,47,142.82,20.4,2.2,0.39189,0.031,0.013,0.019093,NA,0.16,0.45374,NA,0.13,0.27102,2010,77,0.016653,176,8.1,0.076356,NA,0.083,0.21797,NA,0.061,0.19093,NA,0.0026,0.036956,0.31,0.11,0.2778,1150,56,1.2229,13.5,1.2,1.1944,14.6,1.3,1.9045,NA,0.00026,0,NA,9.90E-06,0.010202,NA,0.0028,0.038961,NA,0.0048,0.028596,NA,0.11,0.26982,NA,0.0034,0.0099181,NA,0.097,0.28263,NA,0.036,0.1286,NA,0.13,0.47024,0.000746,7.00E-05,0,NA,8.90E-05,0.0049473,NA,6.00E-05,0,NA,0.013,0.038316,NA,0.0065,0.01526,0.138,0.022,0.070698,NA,0.0066,0.026914,NA,0.0077,0.027397,NA,0.011,0.060166,NA,0.0087,0.036261,0.063,0.019,0.026613,NA,9.20E-05,0.005615,NA,7.90E-05,0.0080302,NA,NA,NA
136,MS-3_6.d,12/01/2015 (2) 11:19:38.30,12/01/2015 (2),0.471971065,22.468,"MS-3_6.d, 11:19:37 AM (22.4 sec)_mica inclusion",inclusion-bearing,Inclusion-bearing,Detrital,MSPC,210,110,0.82038,870,300,0.40242,1850,440,152.53,7.7,2.5,5.6263,563000,31000,662.94,545000,29000,192.69,380,110,2.1935,NA,57,117.51,240,140,0.46885,1.4,0.4,0.021607,29.5,9.4,0.31039,0.64,0.26,0.28017,310,120,0.016788,1310,150,0.079887,1.34,0.33,0.15428,0.39,0.13,0.14139,0.198,0.098,0,NA,0.15,0.17906,239,90,1.1295,12.9,2.7,1.128,13,3.1,2.1304,0.6,0.2,0,20,11,0.027335,NA,0.00038,0,0.074,0.032,0.02362,NA,0.14,0.20593,NA,0.0068,0.016002,NA,0.13,0.22389,1.05,0.24,0.096466,1.15,0.31,0.38896,4,1.3,0,0.21,0.15,0,0.32,0.17,0,NA,0.015,0.020837,0.32,0.19,0.011221,0.069,0.024,0.051092,NA,0.01,0.022423,14.3,3.2,0.021786,9.5,2.1,0.045821,6.8,1.5,0.02969,8.2,1.9,0.024011,1.16,0.64,0,0.61,0.31,0,NA,NA,NA
137,MS-3_7.d,12/01/2015 (2) 11:21:28.85,12/01/2015 (2),0.473250579,23.036,"MS-3_7.d, 11:21:28 AM (23 sec)_mica inclusion",Anhedral (hydrothermal),Anhedral,Epigenetic,MSPC,NA,0.25,0.61586,10.5,4.3,0.3583,428,77,129.17,6.3,2.6,4.7338,570000,32000,616.66,554000,30000,234.65,7,3.2,2.5063,NA,49,105.74,17.1,1.6,0.46597,0.035,0.016,0.012158,0.64,0.34,0.22331,NA,0.15,0.30945,964,49,0.01058,146,10,0.089021,0.39,0.15,0.15056,0.22,0.082,0.128,NA,0.0071,0.024457,NA,0.09,0.20431,738,84,1.1361,21.6,2.2,0.82357,22.9,2.1,1.7156,NA,0.0035,0.010538,0.006,0.0085,0,NA,0.00037,0.012221,NA,0.0064,0.0090101,NA,0.13,0.24644,NA,0.00043,0.0099835,NA,0.11,0.24687,0.14,0.069,0.094246,NA,0.2,0.46273,0.01,0.019,0,NA,6.80E-05,0,NA,5.50E-05,0.014063,NA,0.012,0.018394,0.0172,0.0096,0.011569,NA,0.024,0.048555,NA,0.0083,0.028876,0.61,0.18,0.035173,0.32,0.12,0.016987,0.318,0.09,0.035506,1.1,0.24,0.015436,7.00E-04,0.0027,0,0.0021,0.0039,0,NA,NA,NA
138,MS-3_8.d,12/01/2015 (2) 11:23:16.89,12/01/2015 (2),0.474501042,39.462,"MS-3_8.d, 11:23:16 AM (39.4 sec)",Anhedral (hydrothermal),Anhedral,Epigenetic,MSPC,NA,0.27,0.76724,0.52,0.15,0.43857,372,54,126.34,8.2,2.8,6.4129,592000,25000,593.34,572000,23000,256.64,NA,1.8,2.9074,NA,37,139.32,17.3,2,0.76356,0.035,0.014,0.018679,NA,0.11,0.31579,NA,0.11,0.25903,1238,93,0.0081661,960,87,0.097202,0.17,0.079,0.15196,0.192,0.076,0.168,NA,0.0073,0.042416,0.32,0.1,0.22806,1199,54,1.5026,26.8,2.2,0.98745,25.9,2,1.5628,NA,0.00021,0.0056261,NA,7.70E-06,0,NA,0.00038,0,NA,0.0046,0.0056006,NA,0.049,0.17421,NA,0.0066,0.015233,NA,0.1,0.24549,NA,0.04,0.092217,NA,0.13,0.41287,NA,1.70E-05,0.10905,NA,6.60E-05,0,NA,0.0039,0.015017,NA,0.0065,0.027092,NA,0.0062,0.01522,0.053,0.021,0.051269,NA,0.0094,0.026119,0.044,0.023,0.03546,NA,0.016,0.031102,NA,0.015,0.03573,0.184,0.037,0.016893,NA,6.90E-05,0.0039453,0.28,0.56,0.014215,NA,NA,NA
139,MS-3_9.d,12/01/2015 (2) 11:25:18.04,12/01/2015 (2),0.475903241,36.681,"MS-3_9.d, 11:25:16 AM (36.7 sec)",Rounded massive (core),Rounded,Detrital,MSPC,NA,0.33,0.6688,0.254,0.093,0.20048,327,38,131.34,7.6,2.1,4.6886,471000,17000,29703,456000,16000,28305,2.4,1.8,2.1919,NA,33,68.138,14.7,1.3,1.8641,0.057,0.014,0.012027,NA,0.1,0.23748,0.51,0.13,0.21169,90.5,3.6,73.916,107.4,5.6,64.478,3.22,0.29,0.077323,0.62,0.1,0.10302,NA,0.0069,0.027023,NA,0.061,0.16836,173,12,45.067,NA,0.41,1.6737,NA,0.76,2.2457,0.251,0.083,0,NA,1.10E-05,0.0071706,0.117,0.033,0.020442,0.411,0.034,0.0089266,NA,0.047,0.24952,NA,0.0018,0.010021,NA,0.11,0.23122,12.61,0.76,0.054311,11.46,0.97,0.35298,0.068,0.047,0,NA,5.40E-05,0,4.4,0.32,0.021281,NA,0.0063,0.025818,0.661,0.051,0.016004,0.045,0.019,0.040605,13.22,0.93,0.025519,36.4,2.1,0.028523,26.8,1.3,0.012905,20.13,0.96,0.026439,25.6,1.4,0.027731,NA,9.00E-04,0.0027973,NA,5.80E-05,0.010076,NA,NA,NA
140,MS-3_10.d,12/01/2015 (2) 11:27:05.97,12/01/2015 (2),0.477152431,19.84,"MS-3_10.d, 11:27:05 AM (19.8 sec)_mica inclusion",NA,NA,NA,MSPC,NA,0.48,0.81796,1.4,2.2,0.33684,354,66,114.08,7.7,3.3,4.6613,561000,25000,39201,552000,26000,39119,8.8,4,2.4848,NA,56,116.57,17.8,2,1.2461,0.06,0.019,0.022068,NA,0.44,0.29624,NA,0.15,0.31513,1484,81,6.0053,339,52,10.06,0.44,0.16,0.21981,0.231,0.081,0.19808,NA,0.011,0.030309,0.3,0.13,0.22504,921,44,12.489,20.2,1.7,1.2382,22.8,2.1,1.5799,NA,0.0038,0.036024,0.49,0.36,0,NA,0.00038,0.055545,NA,0.012,0.034359,NA,0.053,0.36581,NA,0.0033,0.012318,NA,0.15,0.28465,NA,0.061,0.96991,NA,0.28,1.0718,NA,3.00E-06,0,NA,6.20E-05,0,NA,0.004,0.36948,NA,0.0094,0.028699,0.051,0.033,0.018427,NA,0.021,0.051173,NA,0.011,0.92394,NA,1.4,3.7506,NA,0.17,2.4871,NA,0.19,1.7403,NA,0.091,2.418,0.16,0.11,0,0.47,0.45,0,NA,NA,NA
141,MS-3_11.d,12/01/2015 (2) 11:28:58.92,12/01/2015 (2),0.478459722,39.232,"MS-3_11.d, 11:28:58 AM (39.2 sec)",Anhedral (hydrothermal),Anhedral,Epigenetic,MSPC,1.81,0.74,0.95447,80,31,0.35336,573,86,158.01,7.7,2.8,6.517,614000,26000,803.78,596000,23000,269.58,37,15,2.3316,NA,42,103.4,26,11,0.50508,0.099,0.038,0.014112,2.3,1.2,0.40595,0.31,0.15,0.29194,589,61,0.014904,658,70,0.10065,0.71,0.21,0.14854,0.32,0.1,0.14331,0.05,0.021,0.048194,0.306,0.09,0.24114,798,39,1.1077,22.7,1.7,1.1489,21.9,1.6,1.9903,0.113,0.044,0,0.013,0.012,0.011045,0.028,0.021,0.019704,0.056,0.022,0.012018,NA,0.11,0.22268,NA,0.004,0.016321,NA,0.14,0.32204,0.7,0.23,0.10984,0.78,0.3,0.35406,0.123,0.084,0,0.023,0.023,0.0037678,0.096,0.054,0.016274,NA,0.0086,0.027061,0.075,0.025,0.022548,0.073,0.023,0.055449,0.189,0.087,0.023768,6.7,2.3,0.021951,4.2,1.4,0.03139,3.7,1.3,0.045187,4.3,1.3,0.018716,3.8,3.5,0.0042838,0.69,0.63,0,NA,NA,NA
142,MS-3_12.d,12/01/2015 (2) 11:30:49.09,12/01/2015 (2),0.479734838,39.383,"MS-3_12.d, 11:30:48 AM (39.4 sec)",Rounded massive (detrital),Rounded,Detrital,MSPC,NA,0.28,0.85376,NA,0.16,38.482,415,63,161.46,8.5,2.5,6.8512,613000,29000,43381,596000,27000,39490,NA,2.4,6.3209,NA,40,116.21,17.3,1.6,1.2688,NA,0.013,0.025011,NA,0.12,0.5188,NA,0.13,0.38426,NA,5.8,50.259,1027,61,55.328,0.155,0.077,0.11233,0.166,0.068,0.11962,NA,0.015,0.046461,0.3,0.11,0.26123,2750,230,54.019,35.5,2.7,1.9453,37.2,2.5,2.4354,NA,0.0019,0.016979,NA,0.0023,1.5027,NA,0.00047,0.038394,NA,0.0043,0.010152,NA,0.071,0.27628,NA,0.0051,0.013096,NA,0.11,0.28981,NA,0.043,0.13292,NA,0.16,0.38925,NA,3.00E-05,0.13655,NA,8.60E-05,0.0070004,NA,8.10E-05,0,NA,0.0024,0.034817,NA,0.0067,0.017951,0.057,0.027,0.053681,NA,0.0046,0.043715,NA,0.008,0.499,NA,0.014,0.56828,NA,0.011,0.32526,NA,0.0088,0.50481,NA,9.20E-05,0,NA,7.70E-05,0.0071623,NA,NA,NA
143,MS-3_13.d,12/01/2015 (2) 11:32:38.31,12/01/2015 (2),0.480998958,37.762,"MS-3_13.d, 11:32:37 AM (37.7 sec)",Sub-rounded massive (detrital),Rounded,Detrital,MSPC,NA,0.31,0.87226,NA,0.13,0.42291,477,58,123.39,NA,3,7.4037,607000,27000,43617,584000,25000,40349,NA,2.9,3.2118,NA,48,95.308,17.6,2,1.0174,0.051,0.018,0.015747,NA,0.14,0.37461,0.28,0.14,0.26412,697,54,5.7269,191.9,9.4,48.157,0.171,0.062,0.13426,0.22,0.11,0.1299,NA,0.012,0.03402,NA,0.097,0.24461,497,25,115.99,23.4,2,2.7545,25.1,2,2.813,NA,0.0027,0.005476,NA,2.90E-05,0.019971,NA,0.00046,0.017759,NA,0.0013,0.017623,NA,0.1,0.48983,NA,0.0042,0.012725,NA,0.085,0.28017,NA,0.043,0.090893,NA,0.13,0.37063,0.0032,0.0072,0,NA,7.40E-05,0,NA,7.20E-05,0.020369,NA,0.0049,0.031286,0.0057,0.0063,0.0041571,0.062,0.022,0.054318,NA,0.0082,0.033867,NA,0.007,0.040939,NA,0.0034,0.025666,NA,0.0088,0.033427,NA,0.0071,0.018313,NA,8.90E-05,0.003854,NA,0.00056,0.0096546,NA,NA,NA
144,MS-3_14.d,12/01/2015 (2) 11:34:20.60,12/01/2015 (2),0.48218287,38.596,"MS-3_14.d, 11:34:20 AM (38.6 sec)",Subhedral (hydrothermal),Subhedral,Epigenetic,MSPC,NA,0.36,1.371,2.3,1.1,0.49849,448,55,115.7,6.8,2.1,5.4597,608000,30000,702.49,580000,25000,247.82,3.7,3.8,3.0558,NA,49,147.07,17.5,1.7,0.43786,0.054,0.018,0.014881,0.39,0.21,0.19347,NA,0.13,0.32001,644,30,0.01169,217,14,0.12854,0.165,0.06,0.11034,0.305,0.091,0.10429,NA,0.0064,0.024658,0.227,0.092,0.19048,830,73,1.1813,24.6,2,1.3098,27.7,2.4,1.9563,NA,0.0015,0.0055536,NA,3.40E-05,0.017037,NA,0.00047,0.032845,NA,0.0034,0.015334,NA,0.058,0.25642,NA,0.0033,0.009271,NA,0.1,0.24862,NA,0.053,0.12004,NA,0.14,0.3815,NA,5.10E-05,0,NA,8.40E-05,0.0034378,NA,0.0023,0.014837,NA,0.0076,0.030561,NA,0.0068,0.014999,0.06,0.024,0.048377,NA,0.0073,0.027007,0.19,0.055,0.027983,0.177,0.059,0.03802,0.129,0.039,0.028983,0.489,0.094,0.013117,NA,9.10E-05,0,NA,7.10E-05,0.0048955,NA,NA,NA
145,MS-3_15.d,12/01/2015 (2) 11:44:45.28,12/01/2015 (2),0.489412963,37.935,"MS-3_15.d, 11:44:44 AM (37.9 sec)_mica inclusion",Subhedral (hydrothermal),Subhedral,Epigenetic,MSPC,387,66,8.2707,12000,1700,14.338,14100,2000,166.17,14.8,3.9,6.2521,6.00E+05,32000,1437.7,576000,30000,1268.6,4830,680,2.6414,224,72,173.32,1820,240,0.96372,16.3,2.5,0.10622,142,18,0.40175,NA,0.23,1.7785,628,32,0.41818,542,29,16.628,34,13,1.7817,NA,0.17,253.98,1.9,0.27,0.022997,0.89,0.14,0.21821,399,21,1.1535,94.9,5.4,1.4933,100.9,5.4,1.8593,6.3,0.62,0.054627,26.8,8.2,0.044949,NA,0.031,0.038932,0.749,0.084,0.068616,NA,0.13,0.63881,NA,0.0053,0.058521,0.26,0.12,0.22266,17.6,1.1,0.28888,39.3,2.6,0.38228,26,3.8,0.086168,0.369,0.07,0,0.91,0.2,0.014624,NA,0.0072,1.2178,NA,0.081,1.0204,NA,0.037,0.30681,0.233,0.05,0.028692,133.2,7.8,49.538,118.9,6.7,58.797,93,4.7,62.274,56.2,3.1,0.063662,0.447,0.063,0.010766,0.44,0.11,0.0048315,NA,NA,NA
146,MS-3_16.d,12/01/2015 (2) 11:46:24.48,12/01/2015 (2),0.490561111,38.603,"MS-3_16.d, 11:46:24 AM (38.6 sec)_Mg mineral inclusion",inclusion-bearing,Inclusion-bearing,Detrital,MSPC,3790,380,1.3224,2450,230,0.26592,11900,1400,123.54,11.6,2.5,4.7375,556000,25000,718.44,548000,27000,319.62,478,58,2.9393,3660,460,138.08,82,10,0.41075,9.5,1.3,0.018201,106,13,0.25585,15.7,2.6,0.29902,221,10,0.0075492,381,19,0.09359,4.58,0.44,0.1156,1.22,0.21,0.14405,0.576,0.082,0.020053,NA,0.1,0.2423,102.1,7.7,1.352,4.63,0.87,1.4446,4.5,0.96,2.0114,0.66,0.12,0.0055749,0.436,0.07,0,0.002,0.0083,0,0.419,0.043,0.017411,NA,0.12,0.25695,NA,0.005,0.0072698,NA,0.11,0.21719,5.06,0.4,0.10269,6.44,0.61,0.34669,0.63,0.21,0.087755,NA,0.0014,0.0034637,0.091,0.038,0,NA,0.014,0.024227,1.42,0.24,0.0094371,0.126,0.031,0.078098,0.051,0.018,0.023381,46.2,3.8,0.02257,32.4,2.8,0.038706,21.3,1.7,0.024094,46.7,2.9,0.019663,NA,0.00058,0.0039481,0.004,0.003,0.0035425,NA,NA,NA
147,MS-3_17.d,12/01/2015 (2) 11:48:02.82,12/01/2015 (2),0.491699306,39.3,"MS-3_17.d, 11:48:02 AM (39.3 sec)",Subhedral (hydrothermal),Subhedral,Epigenetic,MSPC,NA,8.8,317.49,NA,39,287.19,NA,100,1173.6,8.1,1.9,4.5483,581000,25000,33880,569000,25000,36162,NA,2.9,17.696,NA,43,319.51,15.5,1.3,11.04,NA,0.038,0.66729,14.4,3.8,7.8549,NA,0.11,2.5226,294,14,18.139,166,7.2,18.217,NA,0.065,0.21169,NA,0.081,0.41,NA,0.015,0.025941,0.23,0.11,0.20481,419,20,10.712,20.5,1.5,1.0511,21.8,2.1,1.9085,0.306,0.086,0.29641,NA,0.0052,0.10311,NA,0.00046,0.037687,NA,0.0033,0.027757,NA,0.077,0.22151,NA,0.0055,0.010605,NA,0.14,0.24863,NA,0.069,0.259,0.49,0.21,0.45344,NA,0.00014,0.095232,NA,8.60E-05,0,NA,1.00E-04,0,NA,0.0021,0.045715,NA,0.0077,0.019393,NA,0.03,0.07753,NA,0.009,0.027824,NA,0.35,5.451,NA,0.21,4.6221,NA,0.15,2.4103,NA,0.26,3.705,NA,8.90E-05,0.035133,NA,7.50E-05,0.15007,NA,NA,NA
148,FCJ3-1.d,11/06/2015 (5) 13:15:51.66,11/06/2015 (5),0.55268125,39.023,"FCJ3-1.d, 1:15:51 PM (39.0 sec)_matrix ablation",Detrital massive (rounded),Rounded,Detrital,CAF,7300,1400,442.63,11000,2300,3562.5,23700,4700,6624.6,1.88,0.62,0.087301,530000,26000,46764,NA,NA,NA,5600,1100,4.594,NA,180,1312.6,600,130,10.933,30,5.8,0.83984,40,10,0.16038,50.2,8.1,0.26266,670,100,8.1579,571,60,16.821,18.8,6.3,0.56265,11.7,2,0.31231,1.82,0.37,0.11396,NA,0.047,0.10549,279,29,0.37301,1.97,0.61,1.5286,2.5,1.3,2.3229,1.73,0.5,0,13,4.9,0.33889,NA,0.012,0.097481,0.87,0.25,0.030622,NA,0.14,0.47562,NA,0.014,0.023199,1.86,0.35,0.26191,15.4,2.4,0.13291,15.4,2.5,2.9232,40.9,8.3,0.22482,0.9,0.28,0.012428,0.54,0.2,0.073392,NA,0.0074,0.017072,0.122,0.024,0.013406,0.093,0.021,0.041923,0.355,0.091,0.028849,99,20,0.181,92,15,0.50402,72,11,0.3079,14.5,2.4,0,2,1.2,0,13,10,0.080737,NA,NA,NA
149,FCJ3-2.d,11/06/2015 (5) 13:17:58.69,11/06/2015 (5),0.554151505,38.231,"FCJ3-2.d, 1:17:58 PM (38.2 sec)",Detrital massive (rounded),Rounded,Detrital,CAF,NA,1.4,9951.5,NA,3.7,3472.3,NA,120,9134.2,3.07,0.37,0.088912,503000,24000,34011,NA,NA,NA,NA,4.3,5.9967,NA,120,1067.5,NA,2,54.797,NA,0.025,2.5638,NA,0.16,1.0871,NA,0.19,3.5384,509,27,39.348,401,16,41.237,5.18,0.55,4.9607,17.6,1.6,0.46094,NA,0.01,0.15806,0.284,0.059,0.099126,38.7,7.7,6.6967,23.1,2.2,0.74913,24.6,2.1,1.8923,NA,0.023,0.11066,NA,0.84,4.3655,NA,0.019,0.083561,0.464,0.08,0.45044,NA,0.095,0.29703,NA,0.011,0.025742,NA,0.11,0.27339,NA,0.23,1.6381,NA,0.56,6.929,NA,0.14,2.7371,NA,0.00013,0.59549,NA,0.009,0.14125,NA,0.0098,0.025662,1.34,0.17,0.021278,0.061,0.021,0.047278,30.1,1.2,0.039174,NA,0.41,7.6905,NA,0.53,6.7566,NA,0.48,5.7955,NA,0.21,1.723,0.73,0.27,0.48907,NA,0.0091,3.01,NA,NA,NA
150,FCJ3-3.d,11/06/2015 (5) 13:19:49.97,11/06/2015 (5),0.555439468,39.044,"FCJ3-3.d, 1:19:49 PM (39.0 sec)",Detrital massive (rounded),Rounded,Detrital,CAF,NA,0.88,9.3883,NA,0.28,3.017,1370,120,1073,1.13,0.46,0.11425,598000,31000,570.21,NA,NA,NA,11,6.4,0.1962,NA,130,1224.8,30.2,2.6,0.49509,0.059,0.026,0.039673,NA,0.16,0.30883,0.34,0.13,0.27718,1479,87,0.10294,63.7,4.8,0.21045,3.6,1.8,0.47546,1.05,0.33,0.41425,NA,0.012,0.023739,0.123,0.053,0.095718,9.4,1.8,0.63472,13.5,1.7,0.79732,12.8,1.9,2.185,NA,0.00041,0.023232,NA,0.00064,0,NA,0.0015,0.080122,0.045,0.026,0.029351,NA,0.18,0.30947,NA,0.013,0.037755,NA,0.11,0.32046,NA,0.05,0.11283,NA,0.43,2.0342,NA,0.0027,0.25513,NA,0.00077,0,NA,0.00054,0,NA,0.0062,0.029514,0.02,0.012,0.013195,0.058,0.017,0.054355,NA,0.013,0.038026,2.78,0.98,0.071837,4.2,1.4,0.071783,4.4,1.7,0.052026,3.5,1,0.027807,NA,3.00E-04,0,NA,0.00028,0.045203,NA,NA,NA
151,FCJ3-4.d,11/06/2015 (5) 13:22:20.14,11/06/2015 (5),0.557177546,26.269,"FCJ3-4.d, 1:22:19 PM (26.2 sec)_chromite inclusion",Detrital massive (rounded),Rounded,Detrital,CAF,NA,1.2,5.4832,3.86,0.82,3.2702,1300,150,875.64,2.61,0.41,0.099783,501000,26000,35540,NA,NA,NA,9.9,5.2,0.21244,NA,100,1226,24.4,2.4,1.2239,0.067,0.028,0.013181,1.9,1.1,0.24194,NA,0.2,0.31787,563,43,116.21,460,42,3.8693,4.49,0.54,0.36779,3.23,0.8,0.27849,NA,0.01,0.022412,0.105,0.045,0.099445,12.1,7.7,0.51539,10.3,1.2,0.93315,8.7,1.5,1.8246,0.113,0.044,0.008759,0.48,0.14,0,0.6,0.19,0.059998,0.04,0.029,0.03207,NA,0.055,0.28451,NA,0.013,0.02771,NA,0.09,0.25321,0.137,0.062,0.072155,2.9,4,2.2096,0.006,0.055,0,NA,7.40E-05,0.02898,NA,0.00034,0.098261,NA,0.0066,0.018508,1.67,0.18,0.018326,0.058,0.016,0.053504,NA,0.014,0.025219,0.7,0.22,0.080038,0.67,0.18,0.094698,0.67,0.15,0.054083,2.46,0.5,0.08532,0.397,0.093,0,0.075,0.048,0,NA,NA,NA
152,FCJ3-5.d,11/06/2015 (5) 13:24:37.19,11/06/2015 (5),0.558763773,38.748,"FCJ3-5.d, 1:24:37 PM (38.7 sec)_chromite inclusion",Euhedral (hydrothermal),Euhedral,Epigenetic,CAF,81,26,7.3825,1440,440,3.9008,3780,810,1045.8,1.52,0.41,0.083458,599000,34000,614.73,NA,NA,NA,310,100,0.18325,NA,140,1040.7,36.7,3.3,0.74492,1.81,0.66,0.054155,123,58,0.24014,42,21,0.38432,1118,71,0.070093,115,17,0.19229,219,69,0.51173,11,4.6,0.41283,0.245,0.076,0.0278,0.198,0.064,0.11239,1674,84,0.56363,19.6,2.2,0.61541,18.7,2.3,1.9354,0.52,0.2,0.011774,0.007,0.019,0,NA,0.014,0,0.55,0.11,0.050652,NA,0.083,0.65944,NA,0.012,0.039118,NA,0.13,0.26894,3.05,0.58,0.19401,9.7,1.3,2.9547,4.4,1.5,0.11774,NA,0.0021,0.027936,NA,0.032,0.21629,NA,0.011,0.018055,0.136,0.03,0.0090072,0.088,0.022,0.051941,NA,0.018,0.0278,11.4,2,0.072734,8.4,1.6,0.025135,6.7,1.2,0.033545,6.48,0.82,0.011233,0.018,0.021,0,NA,0.00033,0,NA,NA,NA
